ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,SG_PARTIDO,NM_COLIGACAO,DS_NACIONALIDADE,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SIT_TOT_TURNO,ST_REELEICAO,DS_SITUACAO_CANDIDATO_PLEITO
2018,MT,DEPUTADO FEDERAL,RAFAEL BEAL RANALLI,POLICIALFEDERAL RAFAEL RANALLI,APTO,DEFERIDO,COLIGAÇÃO,PROS,A Força da União IV,BRASILEIRA NATA,MT,04/07/1979,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,PI,DEPUTADO FEDERAL,IZABEL MARIA DO ESPIRITO SANTO GROSSE,MÃE IZABEL DE OXUM,APTO,DEFERIDO,COLIGAÇÃO,PSL,PIAUI ACIMA DE TUDO,BRASILEIRA NATA,PI,17/04/1964,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,2500000,NÃO ELEITO,N,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,LUCIANE MELLO DE OLIVEIRA,LU MELLO,APTO,DEFERIDO,COLIGAÇÃO,SOLIDARIEDADE,O RIO TEM JEITO,BRASILEIRA NATA,RJ,15/02/1978,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,2500000,SUPLENTE,N,DEFERIDO
2018,MG,DEPUTADO FEDERAL,GILBERTO APARECIDO ABRAMO,GILBERTO ABRAMO,APTO,DEFERIDO,COLIGAÇÃO,PRB,#MINAS PARA TODOS,BRASILEIRA NATA,SP,06/08/1966,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,ELEITO,N,DEFERIDO
2018,CE,DEPUTADO FEDERAL,EDVANIA MATIAS DE GOES,DÉBORAH SOFT,APTO,DEFERIDO,COLIGAÇÃO,PMN,EM DEFESA DO CEARÁ,BRASILEIRA NATA,PE,30/08/1982,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,2500000,SUPLENTE,N,DEFERIDO
2018,CE,DEPUTADO FEDERAL,GENECIAS MATEUS NORONHA,GENECIAS NORONHA,APTO,DEFERIDO,COLIGAÇÃO,SOLIDARIEDADE,MDB/PHS/AVANTE/SD/PSD/PSC/PODEMOS/PRB,BRASILEIRA NATA,CE,13/03/1963,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,2500000,ELEITO,S,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,CARLOS HENRIQUE GUEDES DE OLIVEIRA,CARLOS HENRIQUE,APTO,DEFERIDO,PARTIDO ISOLADO,PSD,PARTIDO ISOLADO,BRASILEIRA NATA,RJ,01/07/1970,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,PB,DEPUTADO FEDERAL,EDUARDO CAVALCANTI DE MELLO,EDUARDO CAVALCANTI,APTO,DEFERIDO,COLIGAÇÃO,PSL,FORÇA DA ESPERANÇA III,BRASILEIRA NATA,PB,01/09/1970,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,SP,DEPUTADO FEDERAL,MANOEL LIMA DOMINGUES,MANOEL DOMINGUES,APTO,DEFERIDO,PARTIDO ISOLADO,MDB,PARTIDO ISOLADO,BRASILEIRA NATA,SP,16/07/1964,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,SP,DEPUTADO FEDERAL,WANESSA IGESCA VALVERDE,WANESSA VALVERDE,APTO,DEFERIDO,COLIGAÇÃO,PODE,UNIDOS POR SÃO PAULO,BRASILEIRA NATA,SP,02/10/1975,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
