ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,SG_PARTIDO,NM_COLIGACAO,DS_NACIONALIDADE,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SIT_TOT_TURNO,ST_REELEICAO,DS_SITUACAO_CANDIDATO_PLEITO
2014,RS,DEPUTADO FEDERAL,LEUDO IRAJA SANTOS COSTA,LEUDO COSTA,APTO,DEFERIDO,COLIGAÇÃO,PSDB,UNIDOS PELA ESPERANÇA,BRASILEIRA NATA,RS,1955-10-19,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,4500000,SUPLENTE,N,DEFERIDO
2014,PI,DEPUTADO FEDERAL,CLEIDE NÁLIA DE SOUSA LOPES,CLEIDE NÁLIA,APTO,INDEFERIDO COM RECURSO,COLIGAÇÃO,PSOL,O PODER POPULAR NA CONSTRUÇÃO DO SOCIALISMO,BRASILEIRA NATA,PI,1977-07-31,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,100000,NÃO ELEITO,N,INDEFERIDO COM RECURSO
2014,PR,DEPUTADO FEDERAL,GISELE DA SILVA COSTA,GISELE LIBORIO,APTO,DEFERIDO,COLIGAÇÃO,PDT,Paraná Sempre em Frente,BRASILEIRA NATA,PR,1991-01-11,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,6000000,SUPLENTE,N,DEFERIDO
2014,AL,DEPUTADO FEDERAL,PAULO ROBERTO CHAGAS SANTOS,PROFESSOR PAULO ROBERTO,APTO,DEFERIDO,COLIGAÇÃO,PSOL,FRENTE DE ESQUERDA DE ALAGOAS,BRASILEIRA NATA,AL,1982-07-01,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,200000,NÃO ELEITO,N,DEFERIDO
2014,AM,DEPUTADO FEDERAL,JOSE OTACI TEIXEIRA FILHO,OTACI TEIXERA,APTO,DEFERIDO,PARTIDO ISOLADO,PRP,PARTIDO ISOLADO,BRASILEIRA NATA,AM,1957-12-05,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,2000000,NÃO ELEITO,N,DEFERIDO
2014,ES,DEPUTADO FEDERAL,RENATA DA SILVA PRATES,RENATA PRATES,APTO,DEFERIDO,COLIGAÇÃO,PRP,JUNTOS POR UM ESPÍRITO SANTO MAIS FORTE,BRASILEIRA NATA,ES,1977-02-25,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,3000000,NÃO ELEITO,N,DEFERIDO
2014,MG,DEPUTADO FEDERAL,GILBERTO PIRES OLIVEIRA,GILBERTO PIRES,APTO,DEFERIDO,COLIGAÇÃO,PSC,MINAS MELHOR,BRASILEIRA NATA,BA,1964-06-22,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,4000000,SUPLENTE,N,DEFERIDO
2014,TO,DEPUTADO FEDERAL,RAIMUNDO COIMBRA JUNIOR,JUNIOR COIMBRA,APTO,DEFERIDO,COLIGAÇÃO,PMDB,A EXPERIÊNCIA FAZ A MUDANÇA 1,BRASILEIRA NATA,TO,1965-03-28,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,3500000,SUPLENTE,N,DEFERIDO
2014,SP,DEPUTADO FEDERAL,FAUSTO RUY PINATO,FAUSTO PINATO,APTO,DEFERIDO,PARTIDO ISOLADO,PRB,PARTIDO ISOLADO,BRASILEIRA NATA,SP,1977-06-01,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,6000000,ELEITO,N,DEFERIDO
2014,SP,DEPUTADO FEDERAL,LEONARDO PUJATTI,PROFESSOR PUJATTI,APTO,DEFERIDO,PARTIDO ISOLADO,PRB,PARTIDO ISOLADO,BRASILEIRA NATA,SP,1961-06-15,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,6000000,SUPLENTE,N,DEFERIDO
